mir	20127_1_1	20127_1_2	20127_1_3	20127_1_4	20127_1_5	20127_1_6
hsa-mir-548e-5p	37	43	75	55	50	67
hsa-mir-130a-5p	0	0	0	1	0	0
hsa-mir-6798-5p	0	0	1	0	0	0
hsa-mir-5582-3p	0	2	3	0	1	2
hsa-mir-3616-3p	1	0	0	0	0	2
hsa-mir-21-5p	1552480	1651054	2999318	1442365	1783329	1789469
hsa-mir-532-3p	66	102	187	97	93	139
hsa-mir-1248	0	1	3	3	2	1
hsa-mir-19b-1-5p	8	5	9	1	8	3
hsa-mir-4795-3p	0	0	0	0	2	0
hsa-mir-548x-5p	1	0	0	0	0	0
hsa-mir-5707	2	0	0	1	3	1
hsa-mir-487b-3p	4	0	8	1	1	7
hsa-mir-190b	6	14	20	18	17	20
hsa-mir-4764-3p	0	0	0	0	0	1
hsa-mir-3611	3	2	5	2	2	1
hsa-mir-6766-3p	0	0	3	0	2	1
hsa-mir-6894-5p	0	0	6	5	1	1
hsa-mir-670-3p	0	1	4	0	0	3
hsa-mir-132-3p	1003	852	1531	797	1044	1027
hsa-mir-378f	2	1	6	3	9	3
hsa-mir-218-1-3p	2	3	10	4	13	5
hsa-mir-1228-5p	0	1	1	0	2	1
hsa-mir-3691-5p	35	32	49	28	32	35
hsa-mir-6819-5p	0	0	0	0	1	0
hsa-mir-361-3p	162	165	312	150	179	186
hsa-mir-409-5p	3	11	37	7	14	8
hsa-mir-1273f	65	121	223	137	110	146
hsa-mir-145-5p	0	2	8	0	0	2
hsa-mir-19b-3p	603	1617	2213	1624	1053	1857
hsa-mir-380-3p	0	0	2	0	1	1
