Gene	LogFC	V4	m210_1
OAS1	0.765228795	ensembl_havana	protein_coding
NXT2	0.764272763	ensembl_havana	protein_coding
PRIMPOL	0.763065018	ensembl_havana	protein_coding
CDC23	0.762180994	ensembl_havana	protein_coding
KPNA6	0.761551736	ensembl_havana	protein_coding
CHID1	0.760795943	ensembl_havana	protein_coding
NOL4L	0.759800356	ensembl_havana	protein_coding
ZNF567	0.759510731	ensembl_havana	protein_coding
ARNT	0.759181148	ensembl_havana	protein_coding
DPYSL2	0.758927043	ensembl_havana	protein_coding
FAM60A	0.758842874	ensembl_havana	protein_coding
LARP4B	0.758791579	ensembl_havana	protein_coding
PIGN	0.758161439	ensembl_havana	protein_coding
DLG1	0.756371269	ensembl_havana	protein_coding
GPR19	0.755797653	ensembl_havana	protein_coding
CDCA7	0.755529538	ensembl_havana	protein_coding
PTGES	0.755313847	ensembl_havana	protein_coding
NIPSNAP3A	0.754341104	ensembl_havana	protein_coding
GPR143	0.753992024	ensembl_havana	protein_coding
BBS10	0.752799594	ensembl_havana	protein_coding
ORC3	0.75216698	ensembl_havana	protein_coding
HCFC2	0.74800263	ensembl_havana	protein_coding
MTMR11	0.747323804	ensembl_havana	protein_coding
DCP2	0.746563264	ensembl_havana	protein_coding
IDE	0.74627171	ensembl_havana	protein_coding
NCAPG2	0.745244908	ensembl_havana	protein_coding
CDKL1	0.74516313	ensembl_havana	protein_coding
STAM2	0.74457508	ensembl_havana	protein_coding
FAM173B	0.744545111	ensembl_havana	protein_coding
CCDC15	0.744289773	ensembl_havana	protein_coding
SLC39A10	0.743947596	ensembl_havana	protein_coding
ZNF84	0.743808081	ensembl_havana	protein_coding
HEATR5A	0.743723393	ensembl_havana	protein_coding
DDX19B	0.743377886	ensembl_havana	protein_coding
IFI35	0.742431997	ensembl_havana	protein_coding
NFIB	0.741569481	ensembl_havana	protein_coding
CKAP5	0.741101998	ensembl_havana	protein_coding
WDR89	0.740896793	ensembl_havana	protein_coding
WDR20	0.740676188	ensembl_havana	protein_coding
FAM110B	0.740549352	ensembl_havana	protein_coding
ZNF816	0.739415401	havana	protein_coding
THAP9	0.73908442	ensembl_havana	protein_coding
ORC1	0.738879234	ensembl_havana	protein_coding
STK19	0.738639851	ensembl_havana	protein_coding
MINA	0.738223877	ensembl_havana	protein_coding
NSUN6	0.738083425	ensembl_havana	protein_coding
RUFY2	0.73781895	ensembl_havana	protein_coding
DOCK7	0.737809929	ensembl_havana	protein_coding
TRAPPC13	0.736956338	ensembl_havana	protein_coding
DCUN1D3	0.736214439	ensembl_havana	protein_coding
VPS16	0.736084771	ensembl_havana	protein_coding
ERCC3	0.735015189	ensembl_havana	protein_coding
USF3	0.734692038	ensembl_havana	protein_coding
TANGO2	0.734511125	ensembl_havana	protein_coding
SNX11	0.733994646	ensembl_havana	protein_coding
CLK4	0.73351806	ensembl_havana	protein_coding
C1orf56	0.732999195	ensembl_havana	protein_coding
IQCC	0.732191698	ensembl_havana	protein_coding
RACGAP1	0.731511717	ensembl_havana	protein_coding
C9orf152	0.731356324	ensembl_havana	protein_coding
PSAP	0.729707753	ensembl_havana	protein_coding
SNX2	0.729316801	ensembl_havana	protein_coding
UPK1A	0.728981171	ensembl_havana	protein_coding
ABCD3	0.7284078	ensembl_havana	protein_coding
NVL	0.727796113	ensembl_havana	protein_coding
LETMD1	0.727563155	ensembl_havana	protein_coding
PDE7A	0.726585943	ensembl_havana	protein_coding
NOSTRIN	0.726440906	ensembl_havana	protein_coding
CAT	0.724618884	ensembl_havana	protein_coding
PLS1	0.722807506	ensembl_havana	protein_coding
FYTTD1	0.722690978	ensembl_havana	protein_coding
TIGAR	0.722616049	ensembl_havana	protein_coding
KIF20A	0.72219071	ensembl_havana	protein_coding
LYST	0.721766764	ensembl_havana	protein_coding
ACOX2	0.720094451	ensembl_havana	protein_coding
CIT	0.720008667	ensembl_havana	protein_coding
HERC5	0.719824267	ensembl_havana	protein_coding
EMSY	0.719681097	ensembl_havana	protein_coding
Mar-06	0.718985223	ensembl_havana	protein_coding
GDAP1	0.718932461	ensembl_havana	protein_coding
RBL2	0.718162874	ensembl_havana	protein_coding
AZIN1	0.718130598	ensembl_havana	protein_coding
PDZD8	0.717800064	ensembl_havana	protein_coding
DTWD1	0.717586326	ensembl_havana	protein_coding
TEX10	0.717497988	ensembl_havana	protein_coding
TMEM230	0.71701487	ensembl_havana	protein_coding
C5orf15	0.716453785	ensembl_havana	protein_coding
HMGCR	0.71633687	ensembl_havana	protein_coding
CEP85L	0.715210364	ensembl_havana	protein_coding
ZC3H14	0.715166017	ensembl_havana	protein_coding
ZNF841	0.71515326	ensembl_havana	protein_coding
AP2B1	0.715112625	ensembl_havana	protein_coding
HYKK	0.714379151	ensembl_havana	protein_coding
PPP1R3E	0.713484841	ensembl_havana	protein_coding
HAUS6	0.712084722	ensembl_havana	protein_coding
C20orf96	0.711234778	ensembl_havana	protein_coding
ZNF432	0.711161567	ensembl_havana	protein_coding
CCSAP	0.710943453	ensembl_havana	protein_coding
NSF	0.709906571	ensembl_havana	protein_coding
EDNRA	0.70807926	ensembl_havana	protein_coding
KBTBD4	0.706559542	ensembl_havana	protein_coding
ZMPSTE24	0.706436362	ensembl_havana	protein_coding
IFT122	0.706144053	ensembl_havana	protein_coding
CREB1	0.705900979	ensembl_havana	protein_coding
RBM5	0.704544162	ensembl_havana	protein_coding
CAP2	0.704247141	ensembl_havana	protein_coding
BLM	0.703359527	ensembl_havana	protein_coding
HEATR1	0.703180238	ensembl_havana	protein_coding
PTCD3	0.702127681	ensembl_havana	protein_coding
FAM118B	0.701704314	ensembl_havana	protein_coding
CSE1L	0.701635569	ensembl_havana	protein_coding
LMAN2L	0.701062612	ensembl_havana	protein_coding
DNA2	0.700942604	ensembl_havana	protein_coding
MOV10	0.699763031	ensembl_havana	protein_coding
CLEC3A	0.699301089	ensembl_havana	protein_coding
PTEN	0.69895186	ensembl_havana	protein_coding
CRKL	0.698632245	ensembl_havana	protein_coding
CD160	0.69844275	ensembl_havana	protein_coding
RIMKLA	0.697955568	ensembl_havana	protein_coding
TADA1	0.69764276	ensembl_havana	protein_coding
SAMD15	0.697429776	ensembl_havana	protein_coding
LIN7A	0.695654326	ensembl_havana	protein_coding
LCTL	0.695651642	ensembl_havana	protein_coding
PASK	0.695008875	ensembl_havana	protein_coding
ZBTB49	0.694485921	ensembl_havana	protein_coding
PRPF38A	0.694077611	ensembl_havana	protein_coding
CSRP2	0.693663661	ensembl_havana	protein_coding
RBM28	0.69311421	ensembl_havana	protein_coding
HDHD2	0.692595547	ensembl_havana	protein_coding
ENPP4	0.692293357	ensembl_havana	protein_coding
TAF1B	0.692293094	ensembl_havana	protein_coding
ARMCX5	0.692050211	ensembl_havana	protein_coding
DIABLO	0.691383073	ensembl_havana	protein_coding
RNF19A	0.690416517	ensembl_havana	protein_coding
SERINC5	0.689344336	ensembl_havana	protein_coding
NSUN5	0.689229152	ensembl_havana	protein_coding
ERN1	0.68783657	ensembl_havana	protein_coding
SACM1L	0.686964454	ensembl_havana	protein_coding
HIST1H3G	0.68647997	ensembl_havana	protein_coding
C1orf131	0.686174	ensembl_havana	protein_coding
TRAF3IP2	0.68563341	ensembl_havana	protein_coding
ASTN2	0.685526875	ensembl_havana	protein_coding
LDAH	0.684944866	ensembl_havana	protein_coding
DPH3	0.684579474	ensembl_havana	protein_coding
RARS2	0.684249571	ensembl_havana	protein_coding
ZNF480	0.684183711	ensembl_havana	protein_coding
FMNL3	0.683816058	ensembl_havana	protein_coding
WDR3	0.683717162	ensembl_havana	protein_coding
FTO	0.683491118	ensembl_havana	protein_coding
THUMPD3	0.682867279	ensembl_havana	protein_coding
SHH	0.682565597	ensembl_havana	protein_coding
BARD1	0.682258182	ensembl_havana	protein_coding
